Timestamp,Machine_ID,Operator_ID,Units_Produced,Defective_Units,Production_Time_min
2024-01-01 0:00:00,Machine_9,1002,129,2,67
2024-01-01 0:01:00,Machine_3,1005,78,1,88
2024-01-01 0:02:00,Machine_2,1007,74,1,58
2024-01-01 0:03:00,Machine_4,1007,79,8,11
2024-01-01 0:04:00,Machine_10,1002,76,0,107
2024-01-01 0:05:00,Machine_10,1000,146,9,70
2024-01-01 0:06:00,Machine_2,1009,340,1,96
2024-01-01 0:07:00,Machine_9,1005,423,3,114
2024-01-01 0:08:00,Machine_10,1001,442,6,25
2024-01-01 0:09:00,Machine_1,1009,459,1,70
2024-01-01 0:10:00,Machine_7,1009,413,7,110
2024-01-01 0:11:00,Machine_7,1007,353,8,28
2024-01-01 0:12:00,Machine_4,1001,466,3,37
2024-01-01 0:13:00,Machine_3,1009,97,1,42
2024-01-01 0:14:00,Machine_7,1005,406,4,75
2024-01-01 0:15:00,Machine_4,1002,173,9,51
2024-01-01 0:16:00,Machine_3,1003,174,3,96
2024-01-01 0:17:00,Machine_10,1008,92,0,84
2024-01-01 0:18:00,Machine_3,1000,365,5,44
2024-01-01 0:19:00,Machine_4,1003,165,8,59
2024-01-01 0:20:00,Machine_6,1006,251,9,52
2024-01-01 0:21:00,Machine_2,1007,376,2,114
2024-01-01 0:22:00,Machine_8,1004,463,0,29
2024-01-01 0:23:00,Machine_5,1005,151,4,101
2024-01-01 0:24:00,Machine_6,1005,460,1,81
2024-01-01 0:25:00,Machine_6,1008,348,1,111
2024-01-01 0:26:00,Machine_10,1006,261,9,15
2024-01-01 0:27:00,Machine_9,1009,265,6,24
2024-01-01 0:28:00,Machine_2,1006,153,7,83
2024-01-01 0:29:00,Machine_7,1004,117,4,61
2024-01-01 0:30:00,Machine_4,1005,396,9,117
2024-01-01 0:31:00,Machine_10,1000,266,2,83
2024-01-01 0:32:00,Machine_9,1004,74,0,48
2024-01-01 0:33:00,Machine_10,1000,399,2,106
2024-01-01 0:34:00,Machine_3,1009,245,9,75
2024-01-01 0:35:00,Machine_9,1006,293,4,68
2024-01-01 0:36:00,Machine_1,1008,473,4,17
2024-01-01 0:37:00,Machine_4,1003,415,9,39
2024-01-01 0:38:00,Machine_1,1006,231,3,117
2024-01-01 0:39:00,Machine_3,1005,106,9,22
2024-01-01 0:40:00,Machine_2,1005,481,5,51
2024-01-01 0:41:00,Machine_10,1007,269,8,21
2024-01-01 0:42:00,Machine_3,1001,110,3,70
2024-01-01 0:43:00,Machine_8,1007,400,9,29
2024-01-01 0:44:00,Machine_9,1003,143,5,114
2024-01-01 0:45:00,Machine_2,1009,222,9,23
2024-01-01 0:46:00,Machine_8,1000,159,6,24
2024-01-01 0:47:00,Machine_1,1008,125,0,90
2024-01-01 0:48:00,Machine_6,1007,404,8,60
2024-01-01 0:49:00,Machine_9,1000,392,0,101
2024-01-01 0:50:00,Machine_10,1003,222,6,66
2024-01-01 0:51:00,Machine_10,1005,366,4,100
2024-01-01 0:52:00,Machine_1,1004,379,2,84
2024-01-01 0:53:00,Machine_6,1008,145,6,72
2024-01-01 0:54:00,Machine_7,1001,465,3,98
2024-01-01 0:55:00,Machine_2,1008,248,3,114
2024-01-01 0:56:00,Machine_7,1001,82,4,12
2024-01-01 0:57:00,Machine_7,1005,313,6,103
2024-01-01 0:58:00,Machine_3,1006,488,6,30
2024-01-01 0:59:00,Machine_4,1001,143,7,107
2024-01-01 1:00:00,Machine_9,1009,488,3,20
2024-01-01 1:01:00,Machine_10,1006,467,3,106
2024-01-01 1:02:00,Machine_3,1007,109,1,44
2024-01-01 1:03:00,Machine_3,1006,344,5,86
2024-01-01 1:04:00,Machine_4,1006,218,2,88
2024-01-01 1:05:00,Machine_3,1007,252,2,20
2024-01-01 1:06:00,Machine_4,1003,183,2,34
2024-01-01 1:07:00,Machine_9,1008,410,3,43
2024-01-01 1:08:00,Machine_4,1001,106,5,45
2024-01-01 1:09:00,Machine_9,1008,103,4,74
2024-01-01 1:10:00,Machine_5,1005,71,6,77
2024-01-01 1:11:00,Machine_8,1003,208,7,59
2024-01-01 1:12:00,Machine_9,1006,358,1,85
2024-01-01 1:13:00,Machine_10,1009,420,6,51
2024-01-01 1:14:00,Machine_10,1009,470,8,21
2024-01-01 1:15:00,Machine_6,1001,63,5,94
2024-01-01 1:16:00,Machine_1,1002,80,6,84
2024-01-01 1:17:00,Machine_6,1006,455,7,47
2024-01-01 1:18:00,Machine_6,1005,450,7,36
2024-01-01 1:19:00,Machine_10,1005,422,5,34
2024-01-01 1:20:00,Machine_4,1004,442,0,70
2024-01-01 1:21:00,Machine_3,1008,281,3,93
2024-01-01 1:22:00,Machine_2,1007,59,4,93
2024-01-01 1:23:00,Machine_4,1005,407,3,117
