Timestamp,Machine_ID,Power_Consumption_kW,Machine_Status,Alarm_Code
2024-01-01 0:00:00,Machine_9,151.52,Running,None
2024-01-01 0:01:00,Machine_3,153.89,Running,None
2024-01-01 0:02:00,Machine_2,159.01,Running,None
2024-01-01 0:03:00,Machine_4,146.99,Running,None
2024-01-01 0:04:00,Machine_10,155.23,Running,None
2024-01-01 0:05:00,Machine_10,165.42,Running,None
2024-01-01 0:06:00,Machine_2,142.24,Running,None
2024-01-01 0:07:00,Machine_9,167.55,Running,None
2024-01-01 0:08:00,Machine_10,157.64,Running,None
2024-01-01 0:09:00,Machine_1,154.8,Idle,None
2024-01-01 0:10:00,Machine_7,132.22,Running,Low Pressure
2024-01-01 0:11:00,Machine_7,137.86,Running,None
2024-01-01 0:12:00,Machine_4,160.99,Error,None
2024-01-01 0:13:00,Machine_3,139.34,Running,None
2024-01-01 0:14:00,Machine_7,149.03,Idle,None
2024-01-01 0:15:00,Machine_4,160,Idle,None
2024-01-01 0:16:00,Machine_3,160.54,Running,None
2024-01-01 0:17:00,Machine_10,147.12,Running,None
2024-01-01 0:18:00,Machine_3,142.93,Running,None
2024-01-01 0:19:00,Machine_4,157.89,Idle,None
2024-01-01 0:20:00,Machine_6,145.3,Running,None
2024-01-01 0:21:00,Machine_2,147.04,Running,None
2024-01-01 0:22:00,Machine_8,151.78,Running,None
2024-01-01 0:23:00,Machine_5,149.27,Running,None
2024-01-01 0:24:00,Machine_6,162.34,Running,None
2024-01-01 0:25:00,Machine_6,157.95,Running,None
2024-01-01 0:26:00,Machine_10,147.96,Running,None
2024-01-01 0:27:00,Machine_9,152.29,Running,None
2024-01-01 0:28:00,Machine_2,152.29,Running,None
2024-01-01 0:29:00,Machine_7,151.68,Running,None
2024-01-01 0:30:00,Machine_4,137.05,Running,None
2024-01-01 0:31:00,Machine_10,152.85,Running,Low Pressure
2024-01-01 0:32:00,Machine_9,148.69,Running,None
2024-01-01 0:33:00,Machine_10,157.68,Running,None
2024-01-01 0:34:00,Machine_3,149.85,Error,Overheat
